C:\self_drive_simulator_data\IMG\center_2019_01_30_01_45_23_060.jpg,C:\self_drive_simulator_data\IMG\left_2019_01_30_01_45_23_060.jpg,C:\self_drive_simulator_data\IMG\right_2019_01_30_01_45_23_060.jpg,0,0,0,1.266877E-05
C:\self_drive_simulator_data\IMG\center_2019_01_30_01_45_23_133.jpg,C:\self_drive_simulator_data\IMG\left_2019_01_30_01_45_23_133.jpg,C:\self_drive_simulator_data\IMG\right_2019_01_30_01_45_23_133.jpg,0,0,0,8.509773E-06
C:\self_drive_simulator_data\IMG\center_2019_01_30_01_45_23_203.jpg,C:\self_drive_simulator_data\IMG\left_2019_01_30_01_45_23_203.jpg,C:\self_drive_simulator_data\IMG\right_2019_01_30_01_45_23_203.jpg,0,0,0,7.563503E-06
C:\self_drive_simulator_data\IMG\center_2019_01_30_01_45_23_273.jpg,C:\self_drive_simulator_data\IMG\left_2019_01_30_01_45_23_273.jpg,C:\self_drive_simulator_data\IMG\right_2019_01_30_01_45_23_273.jpg,0,0,0,7.219371E-06
C:\self_drive_simulator_data\IMG\center_2019_01_30_01_45_23_343.jpg,C:\self_drive_simulator_data\IMG\left_2019_01_30_01_45_23_343.jpg,C:\self_drive_simulator_data\IMG\right_2019_01_30_01_45_23_343.jpg,0,0,0,1.219382E-05
C:\self_drive_simulator_data\IMG\center_2019_01_30_01_45_23_414.jpg,C:\self_drive_simulator_data\IMG\left_2019_01_30_01_45_23_414.jpg,C:\self_drive_simulator_data\IMG\right_2019_01_30_01_45_23_414.jpg,0,0,0,7.046443E-06
C:\self_drive_simulator_data\IMG\center_2019_01_30_01_45_23_484.jpg,C:\self_drive_simulator_data\IMG\left_2019_01_30_01_45_23_484.jpg,C:\self_drive_simulator_data\IMG\right_2019_01_30_01_45_23_484.jpg,0,0,0,1.467592E-05
C:\self_drive_simulator_data\IMG\center_2019_01_30_01_45_23_551.jpg,C:\self_drive_simulator_data\IMG\left_2019_01_30_01_45_23_551.jpg,C:\self_drive_simulator_data\IMG\right_2019_01_30_01_45_23_551.jpg,0,0,0,2.77864E-07
C:\self_drive_simulator_data\IMG\center_2019_01_30_01_45_23_618.jpg,C:\self_drive_simulator_data\IMG\left_2019_01_30_01_45_23_618.jpg,C:\self_drive_simulator_data\IMG\right_2019_01_30_01_45_23_618.jpg,0,0,0,1.426481E-05
C:\self_drive_simulator_data\IMG\center_2019_01_30_01_45_23_686.jpg,C:\self_drive_simulator_data\IMG\left_2019_01_30_01_45_23_686.jpg,C:\self_drive_simulator_data\IMG\right_2019_01_30_01_45_23_686.jpg,0,0,0,6.434443E-06
